frame,brightness,size,catchlights,blink
749,64.21741778319122,3284,4,0
750,63.721330956625074,3366,4,0
751,63.75949367088607,3160,4,0
752,63.84540474741327,3286,4,0
753,64.23381294964028,3336,4,0
754,64.64219114219114,3432,4,0
755,64.90260869565218,3450,4,0
756,64.92002268859898,3526,4,0
757,65.38775510204081,3528,4,0
758,65.53863508178229,3546,4,0
759,65.01679306608884,3692,5,0
760,65.97182320441989,3620,4,0
761,66.11018826135106,3612,4,0
762,66.18563188253802,3814,4,0
763,66.29166666666667,3792,4,0
764,66.88480392156863,4080,4,0
765,67.22818137493906,4102,4,0
766,68.02847805788983,4284,4,0
767,68.42457588262265,4362,4,0
768,69.52031760859411,4282,4,0
769,69.27742230347349,4376,4,0
770,68.86842105263158,4484,4,0
771,69.73265020959478,4294,4,0
772,69.67448405253283,4264,4,0
773,69.87864752200093,4318,4,0
774,70.17014218009479,4220,4,0
775,70.28211227402474,4204,4,0
776,69.77777777777777,4158,4,0
777,69.4378896882494,4170,4,0
778,68.5360576923077,4160,4,0
779,68.30854126679462,4168,4,0
780,68.2721249408424,4226,4,0
781,68.35515779557231,4246,4,0
782,68.12589413447783,4194,4,0
783,68.17035611164582,4156,4,0
784,68.2346553352219,4236,4,0
785,69.15440464666021,4132,4,0
786,69.29003306565895,4234,4,0
787,69.31896152063051,4314,4,0
788,69.74478694469629,4412,4,0
789,69.90650779101742,4364,4,0
790,66.7302192564347,2098,2,1
791,69.98246423627134,4334,4,0
792,69.84491486424298,4346,4,0
793,69.8886373924853,4418,4,0
794,68.91516333495856,4102,4,0
795,68.85966633954858,4076,4,0
796,68.8014293006636,3918,4,0
797,68.20180562931492,3766,4,0
798,0.0,0,0,1
799,0.0,0,0,1
800,0.0,0,0,1
801,0.0,0,0,1
802,0.0,0,0,1
803,0.0,0,0,1
804,0.0,0,0,1
805,0.0,0,0,1
806,0.0,0,0,1
807,0.0,0,0,1
808,0.0,0,0,1
809,0.0,0,0,1
810,0.0,0,0,1
811,0.0,0,0,1
812,0.0,0,0,1
813,0.0,0,0,1
814,0.0,0,0,1
815,0.0,0,0,1
816,0.0,0,0,1
817,50.63076923076923,520,2,1
818,52.704280155642024,1028,3,0
819,54.57549857549858,1404,3,0
820,55.703125,1536,3,0
821,56.63530927835052,1552,3,0
822,57.625,1552,3,0
823,58.55614973262032,1496,3,0
824,59.340987370838114,1742,3,0
825,59.611617312072894,1756,3,0
826,60.37537239324727,2014,3,0
827,61.707383773928896,2194,3,0
828,61.45122918318795,2522,4,0
829,61.70566037735849,2650,4,0
830,61.180731364275665,2844,4,0
831,63.202476780185755,3230,4,0
832,63.81008206330598,1706,2,1
833,66.10436755530345,3526,4,0
834,67.93786510886882,3766,4,0
835,66.73056443024494,1878,2,1
836,65.91524490919097,3634,4,0
837,65.04248366013071,1836,2,1
838,66.61932114882507,3830,4,0
839,66.17629331993973,3982,4,0
840,66.53225806451613,3968,4,0
841,66.3179104477612,4020,4,0
842,66.65446768060836,4208,4,0
843,67.70780141843971,4230,4,0
844,68.69392523364486,4280,4,0
845,70.74258329529896,4382,4,0
846,71.79157525230364,4558,4,0
847,73.08659793814434,4850,4,0
848,73.49547325102881,4860,4,0
849,73.34108216432865,4990,4,0
850,73.95598731165741,5044,4,0
851,74.09941520467837,5130,4,0
852,73.94150867285195,4958,4,0
853,74.77836304700162,4936,4,0
854,66.85127900059489,3362,4,0
855,0.0,0,0,1
856,0.0,0,0,1
857,0.0,0,0,1
858,0.0,0,0,1
859,0.0,0,0,1
860,0.0,0,0,1
861,0.0,0,0,1
862,0.0,0,0,1
863,0.0,0,0,1
864,0.0,0,0,1
865,0.0,0,0,1
866,0.0,0,0,1
867,0.0,0,0,1
868,0.0,0,0,1
869,0.0,0,0,1
870,0.0,0,0,1
871,0.0,0,0,1
872,0.0,0,0,1
873,0.0,0,0,1
874,0.0,0,0,1
875,0.0,0,0,1
